,_id.$oid,bonusPointsEarned,bonusPointsEarnedReason,createDate.$date,dateScanned.$date,finishedDate.$date,modifyDate.$date,pointsAwardedDate.$date,pointsEarned,purchaseDate.$date,purchasedItemCount,rewardsReceiptItemList.barcode,rewardsReceiptItemList.description,rewardsReceiptItemList.finalPrice,rewardsReceiptItemList.itemPrice,rewardsReceiptItemList.needsFetchReview,rewardsReceiptItemList.partnerItemId,rewardsReceiptItemList.preventTargetGapPoints,rewardsReceiptItemList.quantityPurchased,rewardsReceiptItemList.userFlaggedBarcode,rewardsReceiptItemList.userFlaggedNewItem,rewardsReceiptItemList.userFlaggedPrice,rewardsReceiptItemList.userFlaggedQuantity,rewardsReceiptItemList.needsFetchReviewReason,rewardsReceiptItemList.pointsNotAwardedReason,rewardsReceiptItemList.pointsPayerId,rewardsReceiptItemList.rewardsGroup,rewardsReceiptItemList.rewardsProductPartnerId,rewardsReceiptItemList.userFlaggedDescription,rewardsReceiptItemList.originalMetaBriteBarcode,rewardsReceiptItemList.originalMetaBriteDescription,rewardsReceiptItemList.brandCode,rewardsReceiptItemList.competitorRewardsGroup,rewardsReceiptItemList.discountedItemPrice,rewardsReceiptItemList.originalReceiptItemText,rewardsReceiptItemList.itemNumber,rewardsReceiptItemList.originalMetaBriteQuantityPurchased,rewardsReceiptItemList.pointsEarned,rewardsReceiptItemList.targetPrice,rewardsReceiptItemList.competitiveProduct,rewardsReceiptItemList.originalFinalPrice,rewardsReceiptItemList.originalMetaBriteItemPrice,rewardsReceiptItemList.deleted,rewardsReceiptItemList.priceAfterCoupon,rewardsReceiptItemList.metabriteCampaignId,rewardsReceiptStatus,totalSpent,userId,BrandKey
510,60118be80a7214ada2000075,250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61176E+12,1.61176E+12,,1.61176E+12,,250,1.61168E+12,1,4011,ITEM NOT FOUND,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAGGED,1,60118bcfa4b74c18d3a8c0d7,4011ITEM NOT FOUND
511,6010be460a7214ada2000066,,,1.61171E+12,1.61171E+12,,1.61171E+12,,,1.50932E+12,3,,DELETED ITEM,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,REJECTED,3,6010bddaa4b74c120bd19dfb,DELETED ITEM
512,6011f33a0a7214ada200010b,5,All-receipts receipt bonus,1.61179E+12,1.61179E+12,1.61179E+12,1.61179E+12,1.61179E+12,5,1.61171E+12,1,4011,ITEM NOT FOUND,20,20,FALSE,1,TRUE,1,4011,TRUE,20,1,,,,,,,,,,,,,,,,,,,,,,,FINISHED,20,6011f33173c60b1804ce1102,4011ITEM NOT FOUND
513,60118be20a7214ada2000074,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61176E+12,1.61176E+12,1.61176E+12,1.61176E+12,1.61176E+12,760,1.61168E+12,1,79400066619,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,1,FALSE,1,TRUE,1,79400066619,,,,,,5332f5f6e4b03c9a25efd0b4,SUAVE HAIR CARE,5332f5f6e4b03c9a25efd0b4,,80878042197,,,,,,,,10,800,TRUE,,,,,,FINISHED,1,60118bcfa4b74c18d3a8c0d7,079400066619SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612
514,6011f3360a7214ada2000109,5,All-receipts receipt bonus,1.61179E+12,1.61179E+12,1.61179E+12,1.61179E+12,1.61179E+12,5,1.61171E+12,5,4011,ITEM NOT FOUND,21,21,FALSE,1,TRUE,5,4011,TRUE,21,5,,,,,,,,,,,,,,,,,,,,,,,FINISHED,21,6011f33173c60b1804ce1102,4011ITEM NOT FOUND
515,60118c0a0a720f0535000067,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61176E+12,1.61176E+12,1.61176E+12,1.61176E+12,1.61176E+12,1850,1.61171E+12,6,4011,ITEM NOT FOUND,28,28,FALSE,1,TRUE,6,4011,TRUE,27,3,,,,,,,,,,,,,,,,,,,,,,,FINISHED,28,60118c09a4b74c18d3a8c12e,4011ITEM NOT FOUND
516,60118bf90a7214ada2000079,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61176E+12,1.61176E+12,1.61176E+12,1.61176E+12,1.61176E+12,150,1.6111E+12,1,16000147096,"Betty Crocker Fruit Gushers - Strawberry Splash & Tropical, 16 Oz",10,10,,0,,1,,,,,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,BETTY CROCKER FRUIT SHAPES,5332f5f3e4b03c9a25efd0ae,,,,BRAND,,,,,,,,,,,,,,FINISHED,10,60118bcfa4b74c18d3a8c0d7,"016000147096Betty Crocker Fruit Gushers - Strawberry Splash & Tropical, 16 Oz"
517,5fa8d5730a7214adc30001c3,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.6049E+12,1.6049E+12,,1.61171E+12,1.6049E+12,750,1.60481E+12,11,75925306254,,1,1,,1,,1,,,,,,,,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,,,,,,,,,,,,TRUE,,,,,,REJECTED,1,5fa8d573770b516dda4f4d21,75925306254
518,6010be6a0a720f053500005c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61171E+12,1.61171E+12,1.61171E+12,1.61171E+12,1.61171E+12,150,1.61171E+12,4,4011,ITEM NOT FOUND,22,22,FALSE,1,TRUE,4,4011,TRUE,22,4,,,,,,,,,,,,,,,,,,,,,,,FINISHED,22,6010be6673c60b12049040ef,4011ITEM NOT FOUND
519,6012e64e0a720f05f8000031,,,1.61185E+12,1.61185E+12,1.61185E+12,1.61185E+12,1.61185E+12,840,1.61179E+12,4,36000320893,HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT,21,21,,0,,1,,,,,,,550b2565e4b001d5e9e4146f,HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER,550b2565e4b001d5e9e4146f,,,,,,21,HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT,4023,,210,,,,,,,,FINISHED,84,5fa41775898c7a11a6bcef3e,036000320893HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT
