,barcode,brandcode,rewardsReceiptItemList.finalPrice,rewardsReceiptItemList.itemPrice,rewardsReceiptItemList.needsFetchReview,rewardsReceiptItemList.partnerItemId,rewardsReceiptItemList.preventTargetGapPoints,rewardsReceiptItemList.quantityPurchased,rewardsReceiptItemList.userFlaggedBarcode,rewardsReceiptItemList.userFlaggedNewItem,rewardsReceiptItemList.userFlaggedPrice,rewardsReceiptItemList.userFlaggedQuantity,rewardsReceiptItemList.needsFetchReviewReason,rewardsReceiptItemList.pointsNotAwardedReason,rewardsReceiptItemList.pointsPayerId,rewardsReceiptItemList.rewardsGroup,rewardsReceiptItemList.rewardsProductPartnerId,rewardsReceiptItemList.userFlaggedDescription,rewardsReceiptItemList.originalMetaBriteBarcode,rewardsReceiptItemList.originalMetaBriteDescription,rewardsReceiptItemList.brandCode,rewardsReceiptItemList.competitorRewardsGroup,rewardsReceiptItemList.discountedItemPrice,rewardsReceiptItemList.originalReceiptItemText,rewardsReceiptItemList.itemNumber,rewardsReceiptItemList.originalMetaBriteQuantityPurchased,rewardsReceiptItemList.pointsEarned,rewardsReceiptItemList.targetPrice,rewardsReceiptItemList.competitiveProduct,rewardsReceiptItemList.originalFinalPrice,rewardsReceiptItemList.originalMetaBriteItemPrice,rewardsReceiptItemList.deleted,rewardsReceiptItemList.priceAfterCoupon,rewardsReceiptItemList.metabriteCampaignId,_id.$oid,category,categoryCode,cpg.$id.$oid,cpg.$ref,name,topBrand
985,511111316046,TEST BRANDCODE @1598635435896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f493dabbe37ce64d0ae36bd,Baking,BAKING,5f493dabbe37ce64d0ae36ba,Cogs,test brand @1598635435896,
986,511111316114,TEST BRANDCODE @1598635634882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f493e72be37ce64d0ae36c6,Baking,BAKING,5f493e72be37ce64d0ae36c2,Cogs,test brand @1598635634882,
987,511111316275,TEST BRANDCODE @1598716509358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4a7a5dbe37ce2d95e65ca2,Baking,BAKING,5f4a7a5bbe37ce2d95e65c9f,Cogs,test brand @1598716509357,
988,511111316329,TEST BRANDCODE @1598813526618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4bf556be37ce0b4491554a,Baking,BAKING,5f4bf556be37ce0b44915549,Cogs,test brand @1598813526618,
989,511111316480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f504acabe37ce0b793c9418,Baking,BAKING,5f504acabe37ce0b793c9417,Cogs,test brand @1599097546963,
990,511111316558,GERBER GOOD START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f59002dbe37ce21f1287c10,Baby,BABY,5f58fa84be37ce21f1287c0f,Cogs,Gerber Good Start,
991,511111316602,TEST BRANDCODE @1599849713773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5bc4f1be37ce17125ac0ea,Baking,BAKING,5f5bc4f1be37ce17125ac0e8,Cogs,test brand @1599849713772,
992,511111316763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f772951be37ce6b592e90d0,Baking,BAKING,5f772951be37ce6b592e90cf,Cogs,test brand @1601644881253,
993,511111316831,TEST BRANDCODE @1601659120793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7760f0be37ce1d26d7b7a4,Baking,BAKING,5f7760f0be37ce1d26d7b7a2,Cogs,test brand @1601659120793,
994,511111316992,TEST BRANDCODE @1601939763539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7ba933be37ce2f290fb256,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1601939763539,
995,511111317081,TEST BRANDCODE @1603760319788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f9770bfbe37ce03d08a2d86,Baking,BAKING,5f9770bfbe37ce03d08a2d83,Cogs,test brand @1603760319788,
996,511111317159,TEST BRANDCODE @1603925787441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f99f71bbe37ce13da9eadea,Baking,BAKING,5f99f71bbe37ce13da9eade6,Cogs,test brand @1603925787441,
997,511111317203,TEST BRANDCODE @1604437351617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fa1c567be37ce402c4618f1,Baking,BAKING,5fa1c567be37ce402c4618ef,Cogs,test brand @1604437351617,False
998,511111317364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fb28549be37ce522e165cb5,Baking,BAKING,5fb28549be37ce522e165cb4,Cogs,test brand @1605535049181,False
999,511111317432,ALTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fb6d726be37ce522e165cc0,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Cogs,Altos®,False
1000,511111317593,JAMESON COLD BREW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fb80a6bbe37ce522e165cd0,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Cogs,Jameson® Cold Brew ,False
1001,511111317647,MALIBU® STRAWBERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fb80e70be37ce522e165cd5,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Cogs,Malibu® Strawberry,False
1002,511111317715,ABSOLUT® CITRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fb81ab9be37ce522e165cdc,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Cogs,Absolut® Citron,False
1003,511111317876,TEST BRANDCODE @1606765578747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fc54c0abe37ce1911dbb3b3,Baking,BAKING,5fc54c0abe37ce1911dbb3b1,Cogs,test brand @1606765578747,False
1004,511111317920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fcda47cbe37ce688e08b0c3,Baking,BAKING,5fcda47cbe37ce688e08b0c2,Cogs,test brand @1607312508610,False
1005,511111318033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fcff319be37ce6d53dfc691,Baking,BAKING,5fcff319be37ce6d53dfc690,Cogs,test brand @1607463705032,False
1006,511111318194,TEST BRANDCODE @1607707830137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd3acb6be37ce0d9386bb41,Baking,BAKING,5fd3acb5be37ce0d9386bb3e,Cogs,test brand @1607707830137,False
1007,511111318248,TEST BRANDCODE @1607708191128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd3ae1fbe37ce0d9386bb56,Baking,BAKING,5fd3ae1fbe37ce0d9386bb54,Cogs,test brand @1607708191128,False
1008,511111318316,TEST BRANDCODE @1607987891893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd7f2b3be37ce733975586b,Baking,BAKING,5fd7f2b3be37ce7339755868,Cogs,test brand @1607987891893,False
1009,511111318477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fdce9cabe37ce5fa8ba59ce,Baking,BAKING,5fdce9cabe37ce5fa8ba59cd,Cogs,test brand @1608313290565,False
1010,511111318521,TEST BRANDCODE @1608313322283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fdce9eabe37ce5fa8ba59db,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1608313322283,False
1011,511111318682,TEST BRANDCODE @1610039590413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff74126be37ce1e961f3271,Baking,BAKING,5ff74126be37ce1e961f326e,Cogs,test brand @1610039590413,False
1012,511111318750,TEST BRANDCODE @1610040576148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff74500be37ce1e961f327a,Baking,BAKING,5ff74500be37ce1e961f3276,Cogs,test brand @1610040576148,False
1013,511111318804,TEST BRANDCODE @1610046687007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff75cdfbe37ce1e961f328f,Baking,BAKING,5ff75cdebe37ce1e961f328c,Cogs,test brand @1610046687007,False
1014,511111318965,TEST BRANDCODE @1610055793411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff78071be37ce6a424ca0e8,Baking,BAKING,5ff78071be37ce6a424ca0e7,Cogs,test brand @1610055793411,False
1015,511111319078,TEST BRANDCODE @1610135035332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff8b5fbbe37ce4a1398660e,Baking,BAKING,5ff8b5fbbe37ce4a1398660d,Cogs,test brand @1610135035331,False
1016,511111319122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff8b5febe37ce4a13986614,Baking,BAKING,5ff8b5febe37ce4a13986613,Cogs,test brand @1610135038186,False
1017,511111319283,TEST BRANDCODE @1610494831082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ffe336fbe37ce5e01754c32,Baking,BAKING,5ffe336ebe37ce5e01754c2e,Cogs,test brand @1610494831082,False
1018,511111319351,TEST BRANDCODE @1610495103255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ffe347fbe37ce5e01754c42,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1610495103255,False
1019,511111319405,TEST BRANDCODE @1610495466285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ffe35eabe37ce5e01754c49,Baking,BAKING,5ffe35eabe37ce5e01754c45,Cogs,test brand @1610495466285,False
1020,511111319566,TEST BRANDCODE @1610562208600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fff3aa0be37ce2bb7930117,Baking,BAKING,5fff3aa0be37ce2bb7930116,Cogs,test brand @1610562208600,False
1021,511111319634,TEST BRANDCODE @1610653894519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000a0c6be37ce2bb793011f,Baking,BAKING,6000a0c6be37ce2bb793011c,Cogs,test brand @1610653894519,False
1022,511111319795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60074261be37ce360be639f6,Baking,BAKING,60074260be37ce360be639f5,Cogs,test brand @1611088480964,False
1023,511111319849,TEST BRANDCODE @1611088504474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60074278be37ce360be63a03,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1611088504474,False
1024,511111319917,TEST BRANDCODE @1612366146827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601ac142be37ce2ead43755e,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1612366146827,False
1025,511111400042,MAGNUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a5e32c3e4b06ba572cf24aa,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Cogs,Magnum,
1026,511111400110,BADEDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a5d29fde4b0db471c2d0433,Beauty & Personal Care,,53e10d6368abd3c7065097cc,Cogs,Badedas,
1027,511111400271,LECH PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a5d234be4b06ba572cf249f,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Cogs,Lech,
1028,511111400325,OVEN FRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a5d1e8fe4b06ba572cf249e,Grocery,,559c2234e4b06aca36af13c6,Cogs,OVEN FRY,False
1029,511111400486,SPITZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a4d250ce4b0d5c3fd86b67b,Snacks,,5332f5fbe4b03c9a25efd0ba,Cogs,SPITZ,
1030,511111400554,TONI&GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a0219ede4b00d6a5ccb394e,Personal Care,,5332f5f6e4b03c9a25efd0b4,Cogs,TONI&GUY,False
1031,511111400608,LIPTON TEA Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a021611e4b00efe02b02a57,Grocery,,5332f5f6e4b03c9a25efd0b4,Cogs,LIPTON TEA Leaves,False
1032,511111400769,MAGNUM Ice Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592486bee410d61fcea3d133,Frozen,,5332f5f6e4b03c9a25efd0b4,Cogs,MAGNUM Ice Cream,False
1033,511111400837,GOOD HUMOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592486bee410d61fcea3d12b,Frozen,,5332f5f6e4b03c9a25efd0b4,Cogs,GOOD HUMOR,False
1034,511111400998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58b59989e4b0857c2ddb7255,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Cogs,Redd's Wicked,False
1035,511111401087,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588ba032e4b02187f85cdadc,Condiments & Sauces,,559c2234e4b06aca36af13c6,Cogs,HP Sauce,False
1036,511111401155,CLAUSSEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5887a216e4b02187f85cdad5,Deli,,559c2234e4b06aca36af13c6,Cogs,Claussen,False
1037,511111401209,BAKER'S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5887a051e4b02187f85cdad0,Baking,,559c2234e4b06aca36af13c6,Cogs,Baker's,False
1038,511111401360,PILSNER URQUELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58861c7e4e8d0d20bc42c4ea,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Cogs,Pilsner Urquell,False
1039,511111401438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58861c7d4e8d0d20bc42c4d7,Grocery,,559c2234e4b06aca36af13c6,Cogs,Velveeta Shells,False
1040,511111401599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585a96e0e4b03e62d1ce0e8a,Snacks,,5332f5fbe4b03c9a25efd0ba,Cogs,Quaker Chewy,False
1041,511111401643,NAKED JUICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585a96ade4b03e62d1ce0e84,Beverages,,5332f5fbe4b03c9a25efd0ba,Cogs,Naked Juice,
1042,511111401711,FUNYUNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585a9661e4b03e62d1ce0e7d,Snacks,,5332f5fbe4b03c9a25efd0ba,Cogs,Funyuns,True
1043,511111401872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580dff8fe4b0f32b2de21380,Dairy,,53e10d6368abd3c7065097cc,Cpgs,DiGiorno Cheese,
1044,511111401926,TANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57ebc2dfe4b0ac389136a34a,Beverages,,559c2234e4b06aca36af13c6,Cogs,Tang,False
1045,511111402039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57ebc13de4b0ac389136a33e,Dairy,,53e10d6368abd3c7065097cc,Cpgs,Kraft Shredded Cheese,
1046,511111402190,CLASSICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57ebbed8e4b0ac389136a32e,Condiments & Sauces,,559c2234e4b06aca36af13c6,Cogs,Classico,False
1047,511111402244,STEEL RESERVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57e581dfe4b0ac389136a30e,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Cogs,Steel Reserve,False
1048,511111402312,DEVOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57d9612be4b0ac389136a2ba,Frozen,,559c2234e4b06aca36af13c6,Cogs,Devour,False
1049,511111402473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57c08275e4b0718ff5fcb036,,,5332f7a7e4b03c9a25efd134,Cpgs,Brahma,
1050,511111402527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57c0812de4b0718ff5fcb02e,,,5332f5f2e4b03c9a25efd0aa,Cpgs,Crunchy Nut,
1051,511111402688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55a58727e4b0d0a65b3693cd,,,55a58719e4b0d0a65b3693cc,Cpgs,Nature's Bakery,
1052,511111402756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5457a0cde4b05a46170caebc,,,53e10d6368abd3c7065097cc,Cpgs,Fetch Rewards,
1053,511111402800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53501e6cb9237fd7718f9e25,,,53501d2ab9237fd7718f9e1a,Cpgs,Palermo,
1054,511111402961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5332fa7ae4b03c9a25efd229,,,5332f5ebe4b03c9a25efd0a8,Cpgs,Fanta,
1055,511111403074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5332fa67e4b03c9a25efd216,,,5332fa12e4b03c9a25efd1e7,Cpgs,Orv's,
1056,511111403128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5332fa08e4b03c9a25efd1d9,,,5332f5f2e4b03c9a25efd0aa,Cpgs,Raisin Bran,
1057,511111403289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5332f9ede4b03c9a25efd1c2,,,5332f7ffe4b03c9a25efd16b,Cpgs,Danimals,
1058,511111403357,LEINENKUGEL'S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5332f7f5e4b03c9a25efd163,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Cogs,Leinenkugel's,False
